Juice Bar & Fast Food ,"Quick Bites, Fresh Juices",Dhanmondi,http://harriken.com/restaurants/juice-bar-fast-food-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"Shop 5, Road 7/A, Rabindra Sorobor, Dhanmondi Lake, Dhaka 1205"
Xindian Restaurant ,"Chinese, Thai",Dhanmondi,http://harriken.com/restaurants/xindian-restaurant-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"House 55 (Old) 55/A (New), Road 27 (Old) 16 (New), Dhanmondi, Dhaka 1209"
HangOut ,"Buffet, Chinese, Quick Bites",Dhanmondi,http://harriken.com/restaurants/hangout-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/20180105010101228029TK4.jpg,0.0,,"Rupayan ZR Plaza (11th Floor), House 746, Road 19, Satmasjid Road, Dhanmondi, Dhaka 1209"
Golden Spoon ,"Chinese, Thai",Dhanmondi,http://harriken.com/restaurants/golden-spoon-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"3D West Dhanmondi, Satmasjid Road, Dhaka 1209"
Dhaba ,"Biryani, Indian, Kebabs, Quick Bites",Dhanmondi,http://harriken.com/restaurants/dhaba-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/06/2018060809062622802IMGK.jpg,4.1,,"House 54, Road 10/A, Satmasjid Road, Dhanmondi, Dhaka 1209"
Araaz Restaurant & Banquet ,"Buffet, Chinese, Indian",Dhanmondi,http://harriken.com/restaurants/araaz-restaurant-banquet-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017121201124825828SGSS.png,0.0,,"Rapa plaza (5th Floor), Dhanmondi 27, Dhaka 1209"
Nerdy Bean Coffee Haus ,"Coffee, Cupcakes, Sandwiches, Iced Drinks, Breakfast and Brunch",Dhanmondi,http://harriken.com/restaurants/nerdy-bean-coffee-haus-dhanmondi-2-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017120610122422802KOGW.jpg,4.7,,"Ahmed and Kazi Tower (Lower Level), House 35, Road 2, Dhanmondi, Dhaka 1205"
Mama Halim ,Halim,Dhanmondi,http://harriken.com/restaurants/mama-halim-kalabagan-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/376_1_iHpUoWcD.jpg,4.7,8801719708605,"137 Kalabagan, Dhaka 1205"
Spark Cafe ,"Pastas, Pizzas, Set Menus",Dhanmondi,http://harriken.com/restaurants/spark-cafe-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/12/2017120612124325828RHW9.jpg,5.0,,"Rangs KB Square (11th Floor), 736 Satmasjid Road, Dhaka 1209"
Abir Biriani House & Catering Service ,Biryani,Dhanmondi,http://harriken.com/restaurants/abir-biriani-house-catering-service-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.8,8801715033769,"61 Shankar, West Dhanmondi, Dhaka 1209"
Kaisar Sweets & Confectionery ,Mishti,Dhanmondi,http://harriken.com/restaurants/kaisar-sweets-confectionery-jigatala-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.7,8801928093121,"Johur Ali Mansion, 25/3 Jigatala, Dhanmondi, Dhaka 1209"
Al Baik ,"Burgers, Fried Chicken, Quick Bites",Dhanmondi,http://harriken.com/restaurants/al-baik-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2413_1_1O5eEIuS.jpg,0.0,,"Green Taj Center (1st Floor), House 81, Road 8/A, Satmasjid Road, Dhaka 1209"
Azad Hotel and Restaurant ,"Daal Bhaat, Bangladeshi",Dhanmondi,http://harriken.com/restaurants/azad-hotel-and-restaurant-kalabagan-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"1 Lake Circus, Kalabagan, Dhaka 1205"
Sabroso ,"Indian, Italian, Mexican",Dhanmondi,http://harriken.com/restaurants/sabroso-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2017/03/2017031406030218885LTYQ.jpg,4.3,,"Navana GH Heights (7th Floor), House 67 (New) 767 (Old), Satmasjid Road, Dhanmondi, Dhaka 1209"
Snacks Hut Coffee & Restaurant ,"Coffee, Quick Bites",Dhanmondi,http://harriken.com/restaurants/snacks-hut-coffee-restaurant-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,,"82 Shankar, West Dhanmondi, Dhaka 1207"
Impasto ,Pizzas,Dhanmondi,http://harriken.com/restaurants/impasto-dhanmondi-2-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/03/2018032711031522802GR6S.jpg,4.3,8801689930293,"House 39 (5th Floor), Road 2, Dhanmondi, Dhaka 1205"
Rosh Mishti ,Mishti,Dhanmondi,http://harriken.com/restaurants/rosh-mishti-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,880258152341,"House 18, Road 27 (Old) 16 (New), Dhanmondi, Dhaka 1209"
Rana Foods ,Quick Bites,Dhanmondi,http://harriken.com/restaurants/rana-foods-jigatala-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,0.0,8801678690610,"25/1 Jigatala, Dhanmodi, Dhaka 1209"
Yum Yum ,"Burgers, Fried Chicken, Quick Bites",Dhanmondi,http://harriken.com/restaurants/yum-yum-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.3,,"House 41, Road 2/A, Satmasjid Road, Dhanmondi, Dhaka 1209"
Yummy Yummy ,"Fried Chicken, Quick Bites, Cakes",Dhanmondi,http://harriken.com/restaurants/yummy-yummy-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2083_1_Rp4Mtnas.jpg,0.0,,"Satmasjid Road, Dhaka 1209"
Tasty Tibet ,Momos,Dhanmondi,http://harriken.com/restaurants/tasty-tibet-dhanmondi-27-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/2018/01/2018012903011125828Q5BL.jpg,0.0,8801713190042,"House 39/B, Road 27, Dhanmodi, Dhaka 1205"
Second Cup Coffee ,"Coffee, Sandwiches",Dhanmondi,http://harriken.com/restaurants/second-cup-coffee-dhanmondi-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,4.6,,"House 754/B, Road 9/A, Dhanmondi, Dhaka 1209"
Grillicious ,"Grill, Italian, Pizzas",Dhanmondi,http://harriken.com/restaurants/grillicious-satmasjid-road-dhaka,https://s3-ap-southeast-1.amazonaws.com/harriken/images/outlet-cover/thumb/420x135.jpg,5.0,,"Navana GH Heights (8th Floor), House 67 (New) 767 (Old), Satmasjid Road, Dhanmondi, Dhaka 1209"
